Word	Cluster	Jaccard BNC-Genome	Genome neighbors	BNC_normalized neighbors
chrome	2	0.0	chrome wheel_cover door_lock frosted_glass circle_design blob chair_arm luggage_case highlight plastic_bin red_seat arm_rests motorcycle_wheel sprayer tailpipe	permanent everyone who problems aim welcome had others niceties ribbon activated urban progress north factors
church	5	0.0	church group_of_trees castle bell_tower theater cathedral building clock_tower tower brick_building school attic steeple pub big_tree	launched claimed way servants pieces this work take paper was authors boot again there denied
cigarette	1	0.0	cigarette sucker raquet whip wiimote manhole_cover toilet_cover nose_ring game_controller ski_pole left_front_leg smartphone church_steeple trash_bins grey_brick	equal grew possible divide schooling attributes comparatively sorts agriculturally protect tended it commitment gives cases
circle	6	0.0	circle dot united_states design letter_f circles pattern letter_e diamond letter pendulum numbers i writing patterns	ssrc priorities rhetoric perceived avenue often few hub country older (something yet major particular interests
circular	6	0.0	circular two_plates white_plates soda_cans pizza_boxes copper potato_slice man's_lap mill art_supply white_rose glass_base advertising_board round chopstick	economy at commercial meaningful davids industry few bell within course most well-known society cost enquiries
city	5	0.0	city mountain land_mass mountains skyline land mountain_range hills hill buildings sunset cliff town houses moutains	way pieces connection launched encourage informed run claimed take fieldwork latter there population research was
clasp	1	0.0	clasp buckle loop latches locks cabinet_handle belt_buckle charm rivets phone_case tags snap tricks lock clamps	unworthy promote social central conditions basic understanding where however prevailing arrived provision effectiveness professionals cast
claw	15	0.0	claw bear_nose claws toenails talon black_vest bear_head tail_feather front_paw black_ear bear's_ear front_paws back_paw bear_paw tummy	beliefs understanding locally where massive constraint dispute cast stems residence changes tradition females am one
cleat	8	0.0	cleat white_shoe red_socks cleats sandle tennis_shoe athletic_shoes sock crocs shoe shoe_laces soccer_cleats ski_shoe skate_shoe athletic_shoe	specifically what addresses much experts ln total middle earnest contrast elicit modern among wish concentrated
cliff	3	0.0	cliff pier horizon_line brown_sand mountain_peak land seawall coast boardwalk hill hill_side shore town sand_dune mountian	2 effects again assuming early stress 1978 before regularly dividing communities shetland tends incomers debating
clock	17	0.0	clock clock_face clocks grandfather_clock clockface spire steeple arched_window cupola two_clocks statue dome vane bells gargoyle	context elicit rights this incomers role theme goliath concentrates being students authors section intrinsic status
cloud	3	0.0	cloud clouds white_clouds white_cloud puffy_clouds no_clouds sky cloud_cover clouds_sky gray_clouds dark_clouds parasails sun thin_clouds grey_clouds	interests perceived (something avenue too rhetoric ssrc few priorities general raised above major objective often
coach	8	0.0	coach line_judge bystanders player's_head ball_player umpire fans first_baseman water_cooler player first_base baseball_players players medals brown_trees	imputing felt time migration value intensive types locals possibility opposition when as national boot motivations
coaster	7	0.0	coaster table_runner chopping_board champagne_flute round_plate stove_burner black_remote empty_glass coast drinking_glass two_plates white_plates soda_cans pizza_boxes copper	constitute numbers consideration examination each agriculturally protect second those cases temporary possible exclusive considered grew
coat	1	0.0	coat jacket snowsuit sweater blazer red_jacket vest black_dress blue_jacket capris parka suit pants hoodie gray_sweater	have choose immigration south takes unemployment springing vicinity mercenary on 385 logically explicit entire gives
cockpit	13	0.0	cockpit cockpit_window fuselage pilot cock_pit turbine tail_wing nosecone wingspan passenger_windows stabilizer tail-fin underbelly left_wing turbines	latter centralisation connection appeared section room focussing same way forum held mentioned so launched count
coil	15	0.0	coil hadle softball loops gray_rock motors flying_kite prong white_counter train_side shipping_container cooktop sweat emergency_exit gauge	false aspects take question assuming claims whom vital when tel a series useful early its
coin	6	0.0	coin sweet coasters reflection_of_light deer_head mini_pizza chariot aluminum clams love dollar_sign emergency_exit ice_bucket lilies digital_display	davids few most commercial enquiries doing well-known meaningful priorities high-density at often society there question
collar	15	0.0	collar dog_collar blue_collar black_collar lapel neckline red_collar sleeves pocket white_collar necktie necklace sleeve right_paw leash	on vicinity mercenary provision depends all luxury (1 almost get immigration edinburgh actually prevailing in
column	17	0.0	column pillar white_column beam columns building_window parapets pillars pedestal post small_windows support_post archways lightning_rod eave	vital aspects series its take encourage alternative postgraduate these company dividing when claims pieces big
comb	15	0.0	comb blow_dryer kitchen_utensil pink_bow cell_phones hair_bow curls gadgets plate_stack food_dish water_bottles power_outlet whip open_umbrella food_prep_item	airport constraint whether understanding division actually that grew era attributes commitment subject distinction residence according
compartment	6	0.0	compartment flash_drive towel_holder bumber piece_of_meat salad_dressing snack back_part snaps bell_peppers white_tail packets paint_brush bus_tire top_deck	crude forum again category concerning sites application competition rights same debating students so denied crichton
computer	12	0.0	computer laptop desktop_computer keyboard monitor desktop laptop_computer mouse phone computer_speaker computer_monitor power_strip laptop_keyboard laptops key_board	conflict well-known behind value anthony looking question has networks areas predominantly when liberty at politically
concrete	17	0.0	concrete ground sidewalk pavement snow_pile metal_legs stanchion cement_slab water_bottles box_truck ramp asphalt half_pipe patch_of_grass safety_railing	these right also social very ideology another answer allow consensus blue benefit the disseminate during
conductor	17	0.0	conductor engineer train_conductor train_wheels tanker_car black_bumper driver lumber coal_car passengers ac left_window steam_engine window_shade passenger	various claims capital-intensive stress locals when dividing extensive communities its predominantly a felt 1971 minority
cone	6	0.0	cone dashes traffic_cone safety_cone baggage_cart spill orange_cones cones oil_stain traffic_lines payphone van beetle tarmac jetway	microelectronics priorities country particular question 1 rhetoric often claims sector ssrc early most avenue hub
connection	17	0.0	connection english train_wheels numbering lug red_top nozzles red_paint switches two_eyes yellow_paint wrench number_three inscription train_side	charter forth what some threatened series centre isolated its acquainted concentration competition base identity crichton
container	7	0.0	container bowl jar cup dish plate bottle basket tray canister bucket jug black_tray box shaker	society meaningful at areas enquiries commercial davids politically at question most well-known behind a anthony
control	12	0.0	control control_panel controller flush_handle remote_control digital_display cooktop hadle dials digits bedsheets digit banks temperature control_knobs	oil use economic today benefit three right an social like against literature development social we
cookie	19	0.0	cookie cookies hooded_jacket green_food omelet sweet bagels crepe waffle pizzas white_frosting meat_piece donuts cupcakes artichokes	resource commercial correspondingly at each race distinction class sharp agriculturally meaningful since numbers completed consideration
cooler	1	0.0	cooler ice_chest trash_container door_shelf alcohol bottle_of_wine bats top_shelf trashcans jug water_bottle chalk_lines glass_table bookshelves trashcan	examined audience another north demarcated expect receive point placed struggle ideology groups urban rationalisations word
copyright	11	0.0	copyright time_stamp date watermark year short_pants 2012 sectional signature date_stamp train_light rain_gutter specs website tinsel	demand use economic social benefit big literature alternative right we today disseminate against oil final
cord	12	0.0	cord cords plug cable wire chord wires adapter power_cord power_strip drive mouse speaker keyboard pad	analysis explain suburbia again authors status concentrates application incomers sites intrinsic rights 358 shetland papers
cork	7	0.0	cork opener fluid gel green_label diet_coke olive_oil pink_top bottle_top sanitizer bottle_cap mayo paint_brush lable disks	specified commercial sharp far at unskilled distinction meaningful at owned most society cost actually areas
corner	17	0.0	corner edge side part section bottom interior top right_corner surface portion middle stack inside grey_concrete	informed way encourage pieces claimed series dividing population take again company students fieldwork alternative sites
cornice	12	0.0	cornice eave fire_wood shield columns porch lighting bicycles fixture column beam border ring elephants structure	dwellings explain various authors again effects 1971 concentrates role national before stress application 1978 intrinsic
costume	1	0.0	costume marvin hooker red_spot clothe cake_plate hoody zebra_stripes back_foot clown raincoat elephant_ear microphones trouser headdress	reports sciences another allow redundant effectiveness be social facts incomer disseminate in taking behind health
counter	10	0.0	counter counter_top countertop cabinet sink cupboard table fridge stove vanity white_counter tub kitchen refrigerator shelf	topic see medium meant local experts us types being full-time prime wider cast image role
court	8	0.0	court tennis_court brick_slab pitch field airstrip giraffe_pen parking_spot race_track running pavement road turf train_platform asphalt	temple launched this boot when covered was a processes are paper claimed many denied category
covering	17	0.0	covering sconces fleece blue_roof iron_gate red_umbrella chimes rose_bush overhang top_half baseboard lift_chair green_tarp ground_cover water_bottles	people dividing its take servants there tends effects 1971 politicians debating sustained population fieldwork authors
cow	6	0.0	cow calf sheep animal cattle zebra brown_cow bull lamb giraffe cows horse goat ram elephant	notion commercial each distinction agriculturally sharp far completed actually cost era class at residence since
cowboy	14	0.0	cowboy horse_rider police_officer actor jockey rider ankles cops collars officers horseback_rider officer brown_tail policeman farmer	having deliberately numbers agriculturally sphere possible amount comparatively class notion agriculture sorts each that grew
crack	6	0.0	crack cracks concrete_tile pothole pot_hole caulk manhole black_tiles holes sewer gap grout_line hole manhole_cover orange_paint	nascent liberty well-known besides anthony discussions felt was value has at behind cast doing motivations
cracker	7	0.0	cracker bread_slice green_stems food_piece meat_piece crouton crackers paint_brush plate_of_food pepperonis clams celery peanuts stew meats	those second cases universities numbers exclusive considered consideration articles socially tended passing schooling temporary each
crane	5	0.0	crane site terraces tress ferris_wheel cranes cabins powerline skyscraper parasailing pier water_tower stone_block brown_wood heron	outline class race unskilled commercial distinction sharp consideration at actually far correspondingly grew broader agriculturally
crate	4	0.0	crate core kangaroo generator stone_block diamond_pattern award bin bags brown_stem basket baggage_cart sack door_mat brief_case	locality sector davids enquiries aspect priorities at politically question few inhabited a meaningful often ssrc
crest	3	0.0	crest green_water froth dark_water white_caps splashing_water white_tip white_water swell foam curl caps cupola splash digit	five justified uniqueness effects approaches early about examine concept sustained population objections constraining papers most
cross	17	0.0	cross church_steeple steeple weather_vane vane airplane_engine spire ornamentation lightning_rod dome shamrock spires arched_window bell weathervane	cast where types conflicting meant ideas stems besides felt value local discussions living tradition nascent
crossing	5	0.0	crossing piling motor_scooter entrances train_wheels pedestrian_sign traffic_lines gas road_edge double-decker_bus dotted_lines traffic_barrel passenger_bus safety_cones alleyway	sited role authors rights incomers section students papers determines debating application theme this concentrates again
crowd	1	0.0	crowd spectators audience spectator fans viewers viewer people people_watching group_of_trees bystanders person_sitting empty_seat green_seat train_platform	dividing claims debating communities tends its series assumption when again sustained take locals students actual
crown	17	0.0	crown out belfry man's_shirt yellow_letters number_four fireplace_mantle stamen cattle_guard undercarriage pink_bow toboggan head_covering south letter_f	servants there authors launched claimed about section papers students boot wider 1971 effects paper work
crust	7	0.0	crust toppings topping burnt_crust basil cheese burn pepperoni burnt slice sauce melted_cheese black_olive crumb mushroom	oil take population effects assumption dividing tends aspects concept sustained assuming communities politicians early final
cube	6	0.0	cube tape_dispenser rental_video t-shirts picture_frames luggage_carrier kit beaker shallot pepperoni_slice broccoli_head pizza_topping olive_slice pepper_slice memory_chip	(march question most early claims assuming microelectronics country particular tends familiar aspects dividing whom 1
cucumber	7	0.0	cucumber lima_bean eggroll grape_tomato bagels green_lettuce cucumber_slice green_onion onion green_onions guacamole meats snacks red_tomatoes chickpeas	ribbon who factors seen everyone permanent problems supposed belong niceties aim great high-risk moreover receive
cuff	15	0.0	cuff neckline dirt_spot white_band sleeve pocket back_pocket hard_drive short_sleeve cast sweat belt_loop black_button armband hood	deal added servants possibility edinburgh in authors opposing papers polarity stress 1971 unique explain social
cupboard	10	0.0	cupboard cabinet cupboards cabinets freezer_door counters ac_unit cabinet_doors drawers bathroom_counter fridge closet bidet brown_floor cabinet_door	isolated crichton expanding competition published expediency this was acquainted forum meaning suggestion dichotomous processes base
curb	5	0.0	curb sidewalk grey_concrete stores payphone hedge bus_stop red_bus shops street_light median road_side lamp_post paved_area parking_lot	truth is expert parts presented support affect planning circulation defend dwellers collar bears out decisions
curtain	12	0.0	curtain curtains blinds valance blind curtain_panel drape blue_curtain shutter drapery drapes window_shade draperies white_curtain plywood	1978 regularly rights wider debating interest shetland occupational again stress 2 role statements incomers 1971
curve	17	0.0	curve forelock pot_hole pitch double_line split oyster rut scroll_wheel green_object bend street_line muddy_water arrow_sign quote	characteristic students there about debating paper assumption connection politicians wider concept situation section servants papers
customer	1	0.0	customer register melons thumbs_up young_man patron dad wineglass gazebo red_cup barber biker elderly_man line_judge skate_boarder	value felt besides anthony predominantly has when stress migration new boot intend discussions locals engendered
cut	6	0.0	cut man's_mouth knee_guard chop_stick vegatable flies tuna propeller_blade green_water crinkle crease tomato_slice elbow_pad tummy santa_suit	weapon circulation changes deserved answers defend planning collar affect where locally involved am produced more
cycle	18	0.0	cycle motor_cycle motorbike motorcyle scooter fire_truck motocycle motorcycle small_boat vans picnic_tables moped school_bus bathroom_stall motor_bike	further aspects take final make concept most dividing constraining assumption vital books sustained tends there
cyclist	18	0.0	cyclist bicyclist sleeveless_shirt bike_rider biker stunt motorist police_officer rider officer motorcyclist racer police motorcycle_tire turn	readily numbers since race class second combined exclusive consideration examination protect correspondingly schooling each completed
cylinder	17	0.0	cylinder sucker wood_beam trash_bins grey_brick crank wooden_board engraving concrete_steps people_waiting wood_bench weight engine_car jean banana_leaves	whom claims early question a politically engendered particular at stress most sector assuming anthony facilities
dad	1	0.0	dad father mom mother adult young_man her two_pillows empire bald_man he male brown_area fall happy	attributed determine side unemployment have membership individuals forsythe springing socialising international moreover goals immigration defined
daisy	19	0.0	daisy tulip lily orange_flowers rose_petal flower juice_box tulips paint_brush sunflower shamrock thorns colors rose candy_corn	reside numbers consideration class at race commercial each temporary agriculturally although behaviour comparatively bureaucratic grew
dash	6	0.0	dash traffic_lines man_hole_cover street_line pot_hole manhole skid_marks traffic-light yellow_lines passenger_seat auto dotted_line liquor safety_cone dashes	suggestive residence nascent division appropriate authority well-known understanding afford besides at was constraint anthony where
date	6	0.0	date year copyright time_stamp watermark water_mark short_pants signature date_stamp title score sectional not website address	operate liberty knowledge against assumption meant prime covered servants uniqueness boot situation transportation possibility aspects
day	17	0.0	day wheel_chair others hanging_lights dark_sky electric_wire sunset auditorium fall brown_sand red_ski event snow_tracks ski_marks parking_garage	those its opposition claims felt possibility locals stress series situation again dividing politically boot debating
debris	6	0.0	debris driftwood tire_tracks credit drums man_hole_cover particles scuff_mark black_train foot_print strand colored_umbrellas dashes spill traffic_lines	attempts development benefit like literature rural books final field today events listen recently right economic
deck	17	0.0	deck identification_number stern stairwell brown_wood upper_level hotel_room hull exhaust_pipes giraffe_pen balcony upper_deck second_story website_address porch	concentrated total accept what much earnest engaged wish addresses experts ln elicit being criterion papers
decoration	6	0.0	decoration serving_dish white_curtain reflection_of_light decorations wood_trim carving window_awning starfish valance diploma elements green_part shutters swirls	during right merely economic like benefit social consensus leisure today these activated also use jackson
deer	0	0.0	deer antelope scrub antler wheat ram baby_zebra wildebeast black_strip thicket fencepost tassles show right_horn large_rock	assume ideology north right another sake leisure these in our point hoped separation native social
dent	6	0.0	dent green_surface round_plate sockets navel blemish dotted_line rear_view bruise green_letter creamers plastic_bin motorcycle_tire script empty_glass	presumed occupations (see belonging expanding isolated published acquainted expediency dichotomous crichton housing are essentially motivations
desert	6	0.0	desert danish donut_hole bagels dessert clams chocolate_cake bread_slice plate_of_food sushi food_piece meat_piece ice_cream coasters food_items	was competition crichton this encourage forum so pieces processes launched where again claimed base meaning
design	6	0.0	design designs graphic emblem logo pattern dot stripes symbol diamond writing star patterns stripe print	right social ideology literature in benefit these against answer economic also during big disseminate point
desk	12	0.0	desk table dresser night_stand nightstand bedside_table kitchen_table buffet book_case side_table wooden_desk bookshelf ottoman end_table pc	no could proportion phase so-called polarity effectiveness argue intensive elicit almost david earnest much deal
desktop	12	0.0	desktop train_light memory_chip champagne_flute drawer_pull computer monitor black_keyboard usb_drive laptop_computer tape_dispenser laptop drawer_handle wood_bench moniter	small conflict does right ideology intensive either time tel possibility looking in point listen value
dessert	7	0.0	dessert desert pancakes food_item cake pancake meat_piece brownies food_piece ice_cream breakfast bagels pasta_salad empty_glass appetizers	generally into ideologies allow receive ideology northwards staff but jackson conducting oil leisure during clearly
detail	6	0.0	detail inscription two_clocks lightning_rod adidas_logo flipflops decorative_piece building_window arched_window yellow_trim small_windows gargoyle bells cupola window_panel	wide (2 housing sane public acquainted must common its instances results think centre nuclear origins
device	6	0.0	device cable_box plane_wheels dvd_player felt lifts caution_sign walkie_talkie gun scratches belt_buckle sea_weed vcr phone_case lift_chair	may commercial there communication has correspondingly at anthony race well-known rather doing 1968 davids hence
dial	10	0.0	dial control_panel digital_display knob control_knobs number_0 brand_name cooktop meter_top buttons hadle dials gauge time knobs	handle tradition cast where circulation conflicting types changes local argument immigrants answers meant disruptive stems
diamond	6	0.0	diamond patterns diamonds tassles flower_design black_mane gray_stripe square pattern chalk_lines blue_dot black_dot fringe third_base home_base	sufficiently agriculturally economy comparatively within at contrasted industry examination although bell meaningful grew commercial cost
dinner	7	0.0	dinner mixture side_dish meat_piece flatbread food_piece coleslaw paint_brush pasta_salad bell_peppers green_writing brussel_sprouts mashed_potatoes wood_surface green_broccoli	sea obvious individuals expressed away residence bring thus suggestive demarcated understanding rat redundant consideration dispute
dinosaur	6	0.0	dinosaur keg diploma picture_frames nature ghost sockets lavatory elements water_fountain drill barcode code red_topping potty	apart few too different general perceived rhetoric priorities (something interests avenue study raised high-density objective
direction	16	0.0	direction california nature saying tack away service times ahead letter_v white_keyboard yellow_letter ipad icicle info	common pieces research encourage way public big sane informed its was examples centre impact alternative
dirt	0	0.0	dirt grass ground rocks mound rock weeds sand mud plants bushes gravel pavement home_plate bush	fertile matters faith rural listen industries etc development literature dispersed recently impact problem suburbia native
dish	7	0.0	dish bowl plate tray silver_tray soapdish container platter pan slice dishes cutting_board saucer piece baking_pan	at commercial meaningful industry davids agriculturally society bell economy course cost few enquiries at consideration
dishwasher	10	0.0	dishwasher dish_washer drying_rack microwave_oven cubbie microwave drawers cupboards counters cabinet ovens drawer cupboard_door waste_basket refrigerator	sub-divisions intend published suggestion expanding two opposition facilities forum 171 again new predominantly category migration
disk	7	0.0	disk caster date_stamp white_frisbee daffodil memory_chip tape_dispenser green_bag sucker whip frisbee champagne_flute disc softball movie	off does ideology placed right locked conflict surprisingly than also point looking the intensive subject
dispenser	2	0.0	dispenser soap_dispenser roll ice_maker soap_bottle holder soap water_dispenser magnets soapdish soap_dish toothpaste_tube paint_can paper_towels paper_roll	pits again sites launched criteria suburbia take explain category boot when communities authors various denied
display	17	0.0	display green_button slot id_number time meter_top yellow_top dial cubes digit digital_display glass_shelf information hours power_button	was nascent liberty vested afford conflict well-known to the also allow early 1 there (something
distance	11	0.0	distance plantation playing_field prairie roadside distant_tree forrest hilltop mountain island backround courtyard woods storm_clouds mountainside	publication intend when politically at stress suggestion new dividing a again expanding opposition apart felt
dock	9	0.0	dock marina harbor pier barge horizon_line raft sand_bar rowboat motorboat seafoam ship stone_tile jet_ski buoy	where centralisation so base forum was crichton competition farms centre appeared meaning concentration same mentioned
document	12	0.0	document icons browser lcd soccer_game video program post-it wire_square presentation channel number_six sticky_note icon window_reflection	has predominantly anthony felt besides at claims engendered networks value we politically saunders when facilities
dog	6	0.0	dog cat bulldog black_dog bear puppy kitten polar_bear animal goat sheep brown_dog horse cow black_cat	distinction sharp actually era commercial case anthony extensive how at saunders predominantly mcfarlane migration 171
doll	15	0.0	doll cat_face hooded_jacket dolls figurines baby teddy_bear glass_case mannequin robot groceries female bread_loaf fish_tank stuffed_animal	claim each race consideration grew since commercial distinction sharp situated class at era numbers attributes
dome	5	0.0	dome spire steeple weather_vane belfry lightning_rod ornamentation vane satellite cupola arched_window gargoyle building_window spires cross	sustained dividing tends population concept effects take assumption constraining communities troublemakers informed uniqueness series debating
door	17	0.0	door doors doorway window entrance front door_handle windows windshield front_door headlight steps headlights double_doors drawer	fundamental this authors section goliath other criterion held same being concentrates focussing rights accept intrinsic
doorknob	10	0.0	doorknob door_lock frosted_glass door_knob circle_design cabinet_handle blue_door nob lower_part mail_slot door_handle framed_painting seashell calzone hinge	clearly accept total wish concentrated elicit what among criterion experts theme addresses being goliath ln
doorway	17	0.0	doorway entrance door entrance_way stoop bus_door stairs entry_way white_pot archway archways doors door_frame steps entry	base centre where crichton concentration centralisation appeared competition so forum was meaning same latter isolated
dough	7	0.0	dough bagels flatbread cranberry pizza_slice thorn cookies grease splatter cranberries croissants sweet droplet cucumber_slice pastries	evidence transportation assuming series take question a stress politically suggestion claims tel its dividing again
doughnut	19	0.0	doughnut donut donuts doughnuts brownies cupcake chocolate_donut pastry cake chocolate_doughnut eclair birthday_cake dessert gadgets cookie	degree possible agriculturally grew tended each amount whether comparatively numbers commitment attributes consideration imply it
down	1	0.0	down lift sun snowboarder plane train man shade car sign tree_trunk sidewalk parking_meter bike van	provide produced us one immigrants medium local disruptive topic more types locally changes another cast
dragon	17	0.0	dragon love clover cabinet_handle tassles balance creamers dog's_paw floral_pattern chariot author snake beaker circle_design door_panel	extensive sharp distinction at politically predominantly identifiable various a claims stress migration commercial anthony saunders
drain	2	0.0	drain drain_plug stopper faucet sink_drain sprayer fixtures pot_hole suds faucets keg tap claw_foot drain_hole potty	who living prime types modern felt nationally wider addresses being possibility much what opposition large
drawer	10	0.0	drawer drawers cabinet cabinet_door dishwasher cabinets cabinet_doors cupboard cubbie stereo dish_washer wooden_cabinet counters pulls documents	expediency isolated incomer crichton expanding this suggestion competition published two acquainted politically was subdivided encourage
drawing	6	0.0	drawing deer_head piece_of_carrot seahorse black_dot draperies handwriting flower_petal red_writing diagram star wording detector patterns script	to allow tel time conflict redundant the was for vested question social intensive behind in
dress	1	0.0	dress skirt blouse black_dress outfit wedding_dress tennis_dress bang cardigan shirt onesie skort sweater cleavage capris	taking air-traffic be reports facts redundant that another logically south whether constraint to allow behind
dressing	7	0.0	dressing crouton guacamole season coleslaw grape_tomato potatoe green_lettuce salad_dressing feta_cheese cucumbers brown_food pasta_salad brown_stem flake	community to expect motivations effectiveness redundant reports point another what in native immigrants get behind
drink	7	0.0	drink beer soda beverage ice_water juice tea lemonade drinks liquid red_wine orange_juice white_wine milk salad_dressing	bring residence possible amount our sorts agriculturally north schooling growth whether sphere tended deliberately crofters
drive	12	0.0	drive usb_drive railroad_crossing spinach_leaves metal_object usb usb_port trumpet chop_stick away service times ahead arugula port	circulation deserved support collar where defend changes affect expert answers produced decisions cast planning locally
driver	18	0.0	driver bus_driver passenger steering_wheel left_wheel safety_jacket back_seat conductor driver's_seat speedometer engineer top_deck top_level bus_tire rear_view_mirror	capital-intensive various felt opposition role debating rights category locals 1971 boot claims when wider denied
driveway	18	0.0	driveway way bare_patch roof_top passage grey_road police_car cobble_stone pavilion sky_scraper ski_lifts door_way gray_roof spot_light entrance	mentioned forum so centralisation again denied competition appeared same latter was section probably category connection
drop	6	0.0	drop large_body river_bed small_ripples red_square window_trim makeup marsh water_drops droplet moisture white_waves focus white_wave drops	involved am stems where nascent our studies characterised them tradition suggestive view appropriate dispute deserved
droplet	6	0.0	droplet thorn green_label number_8 pink_top river_bed water_droplet plate_stack grinder lug food_prep_item drop highlight washcloths drizzle	access study often perceived rhetoric priorities co-operation few ssrc inhabited avenue course major hub objective
droppings	0	0.0	droppings arrow_sign red_clay bird_head fair timber stepping_stone banana_cluster street_line black_hoof zebra_mane dung excrement bench_slat iron_rod	topographical development rural literature attempts like faith anthropological fertile recently leisure part activated matters benefit
drum	1	0.0	drum candle_stick dispensers shoulder_bag run lamp_base broccoli_stalk newspaper_stand grave_stone shirt. red_dress door_panel balance counters instrument	attitudes actually unskilled constraint case migration discussion subject distinction value far mcfarlane nascent cost stress
dryer	2	0.0	dryer washer fridge_door brown_floor warmer sconces train_light mouthwash pillow_cover picture_frames sectional ovens radio hairdryer green_water	referent unskilled distinction far era actually sharp predominantly 171 locked migration upon subject owned case
duck	6	0.0	duck swan goose pelican duckling ducks parrot stone_block tides hen seagull jet_ski eagle bird row_boat	residence suggestive understanding division distinction each commercial agriculturally class at constraint actually grew nascent relation
duct	9	0.0	duct smoke_alarm wooden_slat ac graffiti_letter framed_print bird_decal wall_hanging wall_tile white_shelf marble_tile gray_tile white_light picture_frames orange_sign	begin explain suburbia application sites criteria they take launched concentrates again sited paper authors national
dugout	8	0.0	dugout brown_trees bleachers pitcher's_mound mound link_fence action field baseball_diamond batter's_box base_plate sidelines tractor_trailer outfield home_plate	belonging publication expanding this forum category two denied was crichton processes suggestion expediency intend polarity
dune	3	0.0	dune sea_weed outcropping dunes blue_ocean weather horseback yellow_house seafoam plow retaining_wall beach_umbrellas white_dog foot_print belongings	began listen assuming national take simply stress does judge 2 time camps tel right early
dust	6	0.0	dust keg snow_skis earings dips potty tree_bark softball show white_word nature water_drain soccer_cleats ski_shoe sports	development literature rural attempts benefit like faith recently matters right part events fertile listen use
eagle	1	0.0	eagle farmland bird's_head iii parrot white_skirt buildig shamrock transformer airliner duck aeroplane parasailing blue_letter wheel_chair	non-technical find treatment with background dominant none close instance referents important however royal institutions concerned
ear	15	0.0	ear eye nose right_ear ears head front_leg mouth hind_leg left_ear back_leg leg back_legs face left_eye	along promote masters origins terms effectiveness view political instances 385 talking central wide-ranging ease almost
earphone	1	0.0	earphone earings earing headset ear_bud earbud knit_hat gray_hat ear_ring man's_ear ear_tag lobe yellow_hat earphones piercing	identities kin logically supersaturation defined institutions peak close think springing create wide-ranging takes must unemployment
earring	15	0.0	earring earing piercing earrings earbud earings ear_ring pink_jacket jewelry cleavage ear_bud earlobe croc nose_ring plaid	peak find close background none with treatment david instance dominant institutions concerned important however referents
earth	17	0.0	earth plains marvin hooker cake_plate huts river_bank electric_box inlet snow_pile roadside clothe green_area mound boat_dock	developments engaged concentrated earnest sentiment what much approaches necessarily total sordid middle enquiry full-time equally
easel	6	0.0	easel tree_part presentation laptops merchandise window_blind carpeted_floor dresses newspaper_stand white_tip bookshelves conditioner umbrella_handle warmer iron_rod	consequence david royal companies treatment no important background explain with engaged anchored should much intensive
edge	6	0.0	edge part bottom side corner section top tip inside portion end view surface underside piece	justified examine attract approaches about person issue body uniqueness life five their population concept run
edging	6	0.0	edging colour boundary_line painted_line orange_cone sponsor window_trim bench_slat balance rain_gutter white_border brussels_sprout sprout hashbrowns veges	policies royal living should time in immigrants ideology social one right to operate local stems
egg	7	0.0	egg ham green_lettuce onion meat tomato red_tomatoes jam dressing vegetable tomatoes blueberry spinach guacamole red_sauce	background dominant treatment find royal important should explain does national close point ideology in right
elbow	1	0.0	elbow left_arm kneepad armpit facial_expression bicep right_knee right_elbow kneecap batting_glove right_eyebrow grey_hat thigh blonde_hair man's_mouth	phase stand so-called wide-ranging no myth promote 385 unemployment arrived masters persuasion thought ease argue
electronics	12	0.0	electronics cable_box snow_flake caster records speakers electronic tape_dispenser files knick_knacks window_blind carpeted_floor dvd_player movie system	demands science activated north others rationalisations jackson jobs anthropological larger leisure rural right groups urban
elephant	6	0.0	elephant elephants baby_elephant giraffe zebra an_elephant cow animal sheep adult_elephant zebras bear animals horse baby_zebra	find with treatment dominant instance referents none background important royal close concerned however some form
emblem	17	0.0	emblem insignia symbol logo white_dot 22 coca-cola brake_lights design stripe graphic 19 30 red_letter lettering	figures sea troublemakers books familiar final most concept or doubtless respectability five uniqueness make sustained
employee	17	0.0	employee thing materials airline_name baggage_cart landing_wheels grassland safety_cone workers rear_landing_gear fair timber stepping_stone banana_cluster tarmac	with dominant treatment royal find of instance some however or form anchored important should 1979
enclosure	0	0.0	enclosure trough giraffe_pen zoo cubes habitat bedskirt selfie safari facility brown_sign plantation playing_field prairie corral	they launched take run servants way fieldwork about lies there authors work section population final
end	6	0.0	end tip core part front_end edge black_tip side tines underbelly portion prong section front_part red_tip	body life (june justified issue lies while their phrase so uniqueness examine fieldwork person about
engine	13	0.0	engine engines landing_gear tail_fin jet_engine nosecone propeller airplane_engine left_engine fuselage missile turbine right_engine turbine_engine tail_wing	explain suburbia concentrates authors again papers determines rights application paper section status intrinsic role launched
entrance	5	0.0	entrance doorway entry steps doorstep marque stairs door stoop archways opening entry_way rear_wing door_way stairway	see this topic being goliath section experts work authors fundamental image wider lies role servants
envelope	12	0.0	envelope computer_speaker food_items coins sweet rice_cooker cat's_nose linen coasters champagne_flute chopping_board quarter walkie_talkie money bed_post	important royal treatment none policed companies explain anchored david impact again some forum category concerning
event	1	0.0	event woman_walking hanging_lights driving skaters season skating walking white_horse water_fountain school_bus swing_set basketball_court stakes grass_patches	which its research encourage way centre was pieces students common competition crichton informed launched impact
